Signal Id,Signal Name,Signal Role,Interface Type,Abbreviation,Interfacing Equipment,Signal Owner,Repeated Per,Same quantity as,Computed from,Connection Type,Unit,Functional Minimum,Functional Maximum,Notes,On aircraft ?,On FND ?,On Sim ?
SIG-016,Fuel Inlet Pressure,Measurement,Analog,FIP,FCU,EPECS,,,,Pressure sensor,,,,,Yes,TBD,TBD
SIG-017,Metered Fuel Flow,Measurement,Analog,FFM,FCU,EPECS,,,,Flow meter,,,,,Yes,TBD,TBD
SIG-018,Fuel Filter Differential Pressure,Measurement,Analog,dP_fuel,FCU,EPECS,,,,Differential pressure sensor,,,,,Yes,TBD,TBD
SIG-019,Turbine Torque,Measurement,Analog,Q_TE,TURB,HICU,,,,Torque sensor at gearbox,,,,,Yes,TBD,TBD
SIG-020,Gas Generator Speed,Measurement,Analog,Ng,TURB,EPECS,,,,Speed pickup,,,,,Yes,TBD,TBD
SIG-021,Main Engine Oil Pressure,Measurement,Analog,MOP,TURB,EPECS,,,,Pressure sensor,,,,,Yes,TBD,TBD
SIG-022,Compressor Output Pressure,Measurement,Analog,P3,TURB,EPECS,,,,Pressure sensor,,,,,Yes,TBD,TBD
SIG-023,Engine Inlet Temperature,Measurement,Analog,T1,TURB,EPECS,,,,Temperature sensor,,,,,Yes,TBD,TBD
SIG-024,Inter-Turbine Temperature,Measurement,Analog,T5_ITT,TURB,EPECS,,,,Thermocouple,,,,,Yes,TBD,TBD
SIG-025,Main Engine Oil Temperature,Measurement,Analog,MOT,TURB,EPECS,,,,Temperature sensor,,,,,Yes,TBD,TBD
SIG-026,AGB Chip Detection,Measurement,Discrete,CHIP_AGB,TURB,EPECS,,,,Magnetic detector,,,,,Yes,TBD,TBD
SIG-027,Engine Oil Level,Measurement,Discrete,OIL_LEVEL,TURB,EPECS,,,,Level detector,,,,,Yes,TBD,TBD
SIG-028,Combining Gearbox Oil Pressure,Measurement,Analog,MOP_GBX,GBX,EPECS,,,,Pressure sensor,,,,,Yes,TBD,TBD
SIG-029,Combining Gearbox Oil Temperature,Measurement,Analog,MOT_GBX,GBX,EPECS,,,,Temperature sensor,,,,,Yes,TBD,TBD
SIG-030,Combining Gearbox Chip Detection,Measurement,Discrete,CHIP_GBX,GBX,EPECS,,,,Magnetic detector,,,,,Yes,TBD,TBD
SIG-031,Combining Gearbox Oil Filter Differential Pressure,Measurement,Analog,dP_GBX,GBX,EPECS,,,,Differential pressure sensor,,,,,Yes,TBD,TBD
SIG-032,HVPDU Bus Current,Measurement,Analog,I_HV,HVPDU,HVPDU,,SIG-179,,Current sensor,,,,,Yes,TBD,TBD
SIG-033,HVPDU Bus Voltage,Measurement,Analog,V_HV,HVPDU,HVPDU,,SIG-003;SIG-178;SIG-180,,Voltage sensor,,,,,Yes,TBD,TBD
SIG-034,HV Isolation Resistance,Measurement,Discrete,R_ISO,HVPDU,IMD,,,,Insulation monitoring device,,,,,Yes,TBD,TBD
SIG-035,Battery Pack Current,Measurement,Analog,I_PACK,PACK,BMU,,,,"Current sensor, nominal path",,,,,Yes,TBD,TBD
SIG-036,Battery Pack Terminal Voltage,Measurement,Analog,V_PACK,PACK,BMU,,,,Voltage sensor,,,,,Yes,TBD,TBD
SIG-037,Battery Pack Mean Temperature,Measurement,Analog,T_PACK_MEAN,PACK,BMU,,,,Temperature sensor,,,,Cell-level acquisition is internal to the pack and is not modelled; the BMU reports the pack aggregate. The hottest and coldest measurement points are separate signals.,Yes,TBD,TBD
SIG-038,Aircraft Pitch Angle,Measurement,Digital,PITCH,IRU,IRU,,,,IRU,,,,,TBD,TBD,TBD
SIG-039,Aircraft Roll Angle,Measurement,Digital,ROLL,IRU,IRU,,,,IRU,,,,,TBD,TBD,TBD
SIG-040,Aircraft Heading Angle,Measurement,Digital,HDG,IRU,IRU,,,,IRU,,,,,TBD,TBD,TBD
SIG-041,Aircraft Longitudinal Acceleration,Measurement,Digital,Ax,IRU,IRU,,,,IRU,,,,,TBD,TBD,TBD
SIG-042,Aircraft Lateral Acceleration,Measurement,Digital,Ay,IRU,IRU,,,,IRU,,,,,TBD,TBD,TBD
SIG-043,Aircraft Normal Acceleration,Measurement,Digital,Az,IRU,IRU,,,,IRU,,,,,TBD,TBD,TBD
SIG-044,Aircraft Pitch Rate,Measurement,Digital,q,IRU,IRU,,,,IRU,,,,,TBD,TBD,TBD
SIG-045,Aircraft Roll Rate,Measurement,Digital,p,IRU,IRU,,,,IRU,,,,,TBD,TBD,TBD
SIG-046,Aircraft Yaw Rate,Measurement,Digital,r,IRU,IRU,,,,IRU,,,,,TBD,TBD,TBD
SIG-047,IPTMS Loop 1 Pump Discharge Pressure,Measurement,Analog,IPTMS_L1_PUMP_P,IPTMS,IPTMS,,,,Pressure sensor,,,,,Yes,TBD,TBD
SIG-048,IPTMS Loop 1 Coolant Supply Temperature,Measurement,Analog,IPTMS_L1_T_SUP,IPTMS,IPTMS,,,,Temperature sensor,,,,,Yes,TBD,TBD
SIG-049,IPTMS Loop 1 Coolant Return Temperature,Measurement,Analog,IPTMS_L1_T_RET,IPTMS,IPTMS,,,,Temperature sensor,,,,,Yes,TBD,TBD
SIG-050,IPTMS Loop 1 TBV Position Feedback,Measurement,Analog,IPTMS_L1_TBV_POS,IPTMS,IPTMS,,,,Position sensor,,,,,Yes,TBD,TBD
SIG-051,IPTMS Loop 2 Pump Discharge Pressure,Measurement,Analog,IPTMS_L2_PUMP_P,IPTMS,IPTMS,,,,Pressure sensor,,,,,Yes,TBD,TBD
SIG-052,IPTMS Loop 2 Coolant Supply Temperature,Measurement,Analog,IPTMS_L2_T_SUP,IPTMS,IPTMS,,,,Temperature sensor,,,,,Yes,TBD,TBD
SIG-053,IPTMS Loop 2 Coolant Return Temperature,Measurement,Analog,IPTMS_L2_T_RET,IPTMS,IPTMS,,,,Temperature sensor,,,,,Yes,TBD,TBD
SIG-054,IPTMS Loop 2 TBV Position Feedback,Measurement,Analog,IPTMS_L2_TBV_POS,IPTMS,IPTMS,,,,Position sensor,,,,,Yes,TBD,TBD
SIG-055,IPTMS Cross-Loop TBV Position Feedback,Measurement,Analog,IPTMS_XLOOP_TBV_POS,IPTMS,IPTMS,,,,Position sensor,,,,,Yes,TBD,TBD
SIG-056,EMC Status / Fault Word,Computed,Digital,EMC_STAT,EMC,EMC,,,,Digital status word,,,,Generic EMC fault / status holder; the individual CON/MON status bits are explicit allocation rows on the nacelle bus.,Yes,TBD,TBD
SIG-057,EMC Inverter Temperature,Measurement,Digital,EMC_T_INV,EMC,EMC,,,,CAN CON vitals (SP000630),deg C,-40,215,OEM label con_inverter_temp.,Yes,TBD,TBD
SIG-058,Main Engine Oil Chip Detection,Measurement,Discrete,CHIP_MEO,TURB,EPECS,,,,Magnetic detector,,,,,Yes,TBD,TBD
SIG-059,Turbine Oil Chip Maintenance Flag,Measurement,Digital,CHIP_MX_FLAG,EPECS,EPECS,,,,Derived status word,,,,Published by the EPECS on the nacelle bus and relayed by the HICU to the FCC.,Yes,TBD,TBD
SIG-060,FCU Metering Valve Differential Pressure,Measurement,Analog,dP_FCU,FCU,EPECS,,,,Differential pressure sensor,,,,,Yes,TBD,TBD
SIG-061,EPECS Status / Fault Word,Measurement,Digital,EPECS_STAT,EPECS,EPECS,,,,Digital status word,,,,,Yes,TBD,TBD
SIG-062,Nacelle ON/OFF Switch,Measurement,Discrete,NAC_ON_OFF,CONTROL_PANELS,ICM,NAC,,,Discrete switch,,,,"Crew nacelle ON/OFF switch, acquired by the ICM and published to the FCC and BPM alongside the turbine operational mode selector.",Yes,TBD,TBD
SIG-063,Electric Motor Stop Pushbutton,Measurement,Discrete,EM_STOP,CONTROL_PANELS,ICM,NAC;EM,,,Discrete switch,,,,"Crew stop pushbutton in the cockpit, acquired by the ICM and published to the FCC and BPM.",Yes,TBD,TBD
SIG-064,Turbine Override Start Pushbutton,Measurement,Discrete,TURB_OVRD_START,CONTROL_PANELS,ICM,NAC,,,Discrete switch,,,,"Crew override start pushbutton in the cockpit, acquired by the ICM and published to the FCC and BPM.",Yes,TBD,TBD
SIG-065,Battery Pack Contactor Status,Measurement,Digital,PACK_CONT_STAT,PACK,BMU,,,,Discrete / digital status,,,,"Status of the pack contactor, not the command that drives it; the command is a separate hardwired discrete.",Yes,TBD,TBD
SIG-066,True Airspeed,Measurement,Analog,TAS,ADC,ADC,,,,Pitot,,,,,TBD,TBD,TBD
SIG-067,Electric Motor Torque Command (FCC to HICU),Request,Digital,EM_TqCmd,HICU,FCC,NAC;EM,,,Digital setpoint command,,,,Aircraft-level torque / power target from the FCC to the HICU. The HICU derives the motor command it sends to the EMC; this is not the OEM setpoint field.,Yes,TBD,TBD
SIG-068,Aircraft Fuel Boost Pump Command,Command,Discrete,FUEL_BOOST,F_B_PUMP,EPECS,,,,Discrete effector command,,,,Automatic actuation uses fuel inlet pressure,Yes,TBD,TBD
SIG-069,PCU Metering Valve Command,Command,Discrete,PCU_METER,PCU,EPECS,,,,Analog effector command,,,,,Yes,TBD,TBD
SIG-070,PCU Feathering Valve Command,Command,Discrete,PCU_FEATHER,PCU,EPECS,,,,Effector command,,,,,Yes,TBD,TBD
SIG-071,Auxiliary Feathering Pump Command,Command,Discrete,AUX_FEATHER,PROPELLER,EPECS,,,,Discrete effector command,,,,Independent feathering means,Yes,TBD,TBD
SIG-072,Turbine Starter Command,Command,Discrete,STARTER_CMD,TURB,EPECS,,,,Discrete effector command,,,,,Yes,TBD,TBD
SIG-073,Ignition Command,Command,Discrete,IGN_CMD,TURB,EPECS,,,,Discrete effector command,,,,,Yes,TBD,TBD
SIG-074,FCU Fuel Metering Command,Command,Discrete,FCU_METER,FCU,EPECS,,,,Analog effector command,,,,,Yes,TBD,TBD
SIG-075,FCU Shutdown Command,Command,Discrete,FCU_SD,FCU,EPECS,,,,Discrete effector command,,,,,Yes,TBD,TBD
SIG-076,HVPDU Contactor Command,Request,Digital,HV_CONT_CMD,HVPDU,HICU,,,,Digital / discrete command,,,,Aircraft-level command relayed by HICU on the nacelle bus; local protection remains in the HVPDU.,Yes,TBD,TBD
SIG-077,HVPDU Pyrofuse Command,Command,Discrete,HV_PYRO_CMD,HVPDU,HVPDU,,,,Protection command,,,,HVPDU / cable protection layer.,Yes,TBD,TBD
SIG-078,HVPDU Load / SSPC Command,Request,Digital,HV_LOAD_CMD,HVPDU,HICU,,,,Digital / discrete command,,,,Aircraft-level command relayed by HICU on the nacelle bus; local protection remains in the HVPDU.,Yes,TBD,TBD
SIG-079,Battery Pack Contactor Command,Command,Discrete,PACK_CONT_CMD,PACK,MBMS,,,SIG-153;SIG-175,Discrete effector command,,,,"Hardwired discrete from the MBMS to the pack contactor drive. The MBMS fires it on its own authority, from its own monitoring and from the top-level assembly-on and pack-isolation requests. Independent of the pyrofuse command: neither is a precondition for the other. Not carried on the battery bus.",Yes,TBD,TBD
SIG-080,IPTMS Loop 1 Coolant Pump Command,Command,Discrete,IPTMS_L1_PUMP_CMD,IPTMS,IPTMS,,,,Analog effector command,,,,Local IPTMS closed-loop effector command; not on a shared digital bus.,Yes,TBD,TBD
SIG-081,IPTMS Loop 1 Thermal Balancing Valve Command,Command,Discrete,IPTMS_L1_TBV_CMD,IPTMS,IPTMS,,,,Analog effector command,,,,Local IPTMS closed-loop effector command; not on a shared digital bus.,Yes,TBD,TBD
SIG-082,IPTMS Loop 2 Coolant Pump Command,Command,Discrete,IPTMS_L2_PUMP_CMD,IPTMS,IPTMS,,,,Analog effector command,,,,Local IPTMS closed-loop effector command; not on a shared digital bus.,Yes,TBD,TBD
SIG-083,IPTMS Loop 2 Thermal Balancing Valve Command,Command,Discrete,IPTMS_L2_TBV_CMD,IPTMS,IPTMS,,,,Analog effector command,,,,Local IPTMS closed-loop effector command; not on a shared digital bus.,Yes,TBD,TBD
SIG-084,IPTMS Cross-Loop Thermal Balancing Valve Command,Command,Discrete,IPTMS_XLOOP_TBV_CMD,IPTMS,IPTMS,,,,Analog effector command,,,,Local IPTMS closed-loop effector command; not on a shared digital bus.,Yes,TBD,TBD
SIG-085,Propeller Heating Command,Command,Discrete,PROP_HEAT_CMD,PCU,EPECS,,,SIG-216,Discrete effector command,,,,Hardwired discrete from the EPECS to the propeller heating element. The EPECS drives it on receipt of the aircraft-level anti-ice request and retains authority over the means.,Yes,TBD,TBD
SIG-086,Backup turbine torque command,Request,Digital,BKUP_Tq_Cmd,HICU,BPM,,,,Analog / Digital,,,,"Independent backup path from PLA, bypassing FCC/MMS.",Yes,TBD,TBD
SIG-087,Backup Propeller Speed Command,Request,Digital,BKUP_Np_Cmd,HICU,BPM,,,,Analog / Digital,,,,"Independent backup path from PLA, bypassing FCC/MMS.",Yes,TBD,TBD
SIG-088,Backup electric motor 1 torque command,Request,Digital,BKUP_Tq_Cmd,HICU,BPM,,,,Analog / Digital,,,,"Independent backup path from PLA, bypassing FCC/MMS.",Yes,TBD,TBD
SIG-089,Backup electric motor 2 torque command,Request,Digital,BKUP_Tq_Cmd,HICU,BPM,,,,Analog / Digital,,,,"Independent backup path from PLA, bypassing FCC/MMS.",Yes,TBD,TBD
SIG-090,Turbine Torque Command,Request,Digital,TE_TqCmd,EPECS,FCC,,,,Digital setpoint command,,,,"Logical turbine torque command from the FCC to the EPECS, and the first hop of the FCC power-management path.",Yes,TBD,TBD
SIG-091,Propeller Speed Command,Request,Digital,Np_Cmd,EPECS,FCC,,,,Digital setpoint command,,,,Logical propeller speed command from the FCC to the EPECS; the EPECS drives the metering valve to meet the target.,Yes,TBD,TBD
SIG-092,Turbine Run Discrete,Request,Digital,TURB_RUN_CMD,EPECS,FCC,,,,Digital discrete command,,,,"Logical turbine run command from the FCC to the EPECS, computed from the mode selector and the nacelle ON/OFF switch.",Yes,TBD,TBD
SIG-093,Turbine Shutdown Discrete,Request,Digital,TURB_SHUTDOWN_CMD,EPECS,FCC,,,,Digital discrete command,,,,"Logical turbine shutdown command from the FCC to the EPECS, computed from the mode selector and the nacelle ON/OFF switch.",Yes,TBD,TBD
SIG-094,IPTMS Coolant Target Temperature,Request,Digital,IPTMS_TGT_T,IPTMS,HICU,,,,Digital setpoint command,,,,HICU-issued setpoint; the IPTMS closes the loop on its own pump and valve effectors.,Yes,TBD,TBD
SIG-095,IPTMS Pre-conditioning Command,Request,Digital,IPTMS_PRECOND,IPTMS,HICU,,,,Digital discrete command,,,,Ground and pre-flight thermal pre-conditioning request issued by HICU.,Yes,TBD,TBD
SIG-096,Landing Gear Deploy Handle,Measurement,Discrete,LDG_HANDLE,CONTROL_PANELS,ICM,,,,,,,,Single lever with discrete position,Yes,TBD,TBD
SIG-097,Landing Gear Alternate Deploy Handle,Measurement,Discrete,LDG_ALT,CONTROL_PANELS,ICM,,,,,,,,Alternate lever to deploy the landing gear,Yes,TBD,TBD
SIG-098,Landing Gear Steering Handle,Measurement,Analog,STEER,CONTROL_PANELS,ICM,,,,,,,,Tiler,Yes,TBD,TBD
SIG-099,Turbine Maintenance Mode Request,Measurement,Discrete,MAINT_MODE,CONTROL_PANELS,EPECS,NAC,,,,,,,Cockpit or GSE origin TBD,Yes,TBD,TBD
SIG-100,Maintenance Feather Request,Measurement,Discrete,MAINT_FEATHER,CONTROL_PANELS,EPECS,NAC,,,Discrete switch,,,,"Crew maintenance feather pushbutton, acquired by the EPECS. The feathering valve drive is a separate command.",Yes,TBD,TBD
SIG-101,Turbine Start Switch,Measurement,Discrete,START_SW,CONTROL_PANELS,EPECS,NAC,,,Discrete switch,,,,"Crew start switch, acquired by the EPECS. The starter drive is a separate command.",Yes,TBD,TBD
SIG-102,Turbine Continuous Ignition,Measurement,Discrete,CONT_IGN,CONTROL_PANELS,EPECS,NAC,,,Discrete switch,,,,"Crew continuous ignition switch, acquired by the EPECS. The igniter drive is a separate command.",Yes,TBD,TBD
SIG-103,Electric Motor Controller 28VDC Supply,Power,Low Power,28V_EMC,EMC,LVPDU,,,,28V,,,,,Yes,TBD,TBD
SIG-104,EPECS 28VDC Supply,Power,Low Power,28V_EPECS,EPECS,LVPDU,,,,28V,,,,,Yes,TBD,TBD
SIG-105,Battery Pack Pyrofuse Command,Command,Discrete,PACK_PYRO_CMD,PACK,MBMS,,,SIG-175,,,,,"Hardwired discrete from the MBMS to the pack pyrofuse triggering hardware. The MBMS fires it on its own authority, from its own monitoring and from the top-level isolation request. Independent of the contactor command, and separate from the HVPDU / cable pyrofuse. Not carried on the battery bus.",Yes,TBD,TBD
SIG-106,Battery Charging Inhibit,Measurement,Discrete,CHG_INHIBIT,PACK,BMU,,,,,,,,Command authority for an independent critical protection path is open.,Yes,TBD,TBD
SIG-107,Calibrated Airspeed,Measurement,Analog,CAS,ADC,ADC,,,,,,,,,TBD,TBD,TBD
SIG-108,Per-nacelle Power Allocation,Computed,Digital,PEMS_POWER_ALLOC,,FCC,NAC,,SIG-116,,,,,"Power-management split of the total demand across the four nacelles, from the energy strategy and the reported nacelle capability.",Yes,TBD,TBD
SIG-109,TOGA Activation,Computed,Digital,PEMS_TOGA,,FCC,,,,,,,,Take-off / go-around detection from the consolidated power lever position.,Yes,TBD,TBD
SIG-110,Nacelle Status and Available Power,Computed,Digital,HICU_FEEDBACK,,HICU,,,,,,,,"Nacelle capability and health consolidated from the EMC, EPECS and ESS reports arriving on the nacelle bus.",Yes,TBD,TBD
SIG-111,Active Rating Reference,Computed,Digital,HICU_ACTIVE_RATING,,HICU,,,SIG-011,,,,,"Rating selected for the current phase, derived from the turbine mode selector and the FCC power-management state.",Yes,TBD,TBD
SIG-112,Propulsion Operating Mode,Computed,Digital,HICU_PROP_MODE,,HICU,,,SIG-011,,,,,"Hybrid operating mode issued to EPECS, derived from the mode selector and the FCC energy strategy.",Yes,TBD,TBD
SIG-113,Synchrophasing Command,Computed,Digital,HICU_SYNCHROPHASING,,HICU,,,,,,,,Propeller phase alignment request computed from the propeller speed and phase feedback of the nacelles.,Yes,TBD,TBD
SIG-114,IPTMS Status and Operating Limits,Computed,Digital,IPTMS_STATUS,,IPTMS,,,,,,,,Cooling capability and health consolidated from both loop sensor sets.,Yes,TBD,TBD
SIG-115,Mission Definition and Constraints,Computed,Digital,FMS_MISSION,,FMS,,,,,,,,"Flight plan, phase and performance constraints computed by the FMS.",Yes,TBD,TBD
SIG-116,Energy and Hybridization Strategy,Computed,Digital,MMS_MISSION,,MMS,,,,,,,,"Operating mode and hybridization profile computed by the MMS from the mission, the stored energy state and the fuel available.",Yes,TBD,TBD
SIG-117,Air Data Environmental Conditions,Computed,Digital,ADC_PLACEHOLDER,,ADC,,,,,,,,"Air data part of the environmental picture only; the weather part is a separate signal owned by the WXR. Air data and weather picture computed by the ADC from their own probes, which are not modelled in this ICD.",Yes,TBD,TBD
SIG-118,Total Fuel Available,Computed,Digital,TOTAL_FUEL,,IMA,,,,,,,,Totalised by the IMA. The inputs to this computation are not yet defined.,Yes,TBD,TBD
SIG-119,HVPDU Actual Power,Computed,Digital,HVPDU_POWER_FB,,HVPDU,,,,,,,,Delivered power computed by the HVPDU from its own bus current and voltage measurements.,Yes,TBD,TBD
SIG-120,BTMS Temperature Target,Computed,Digital,BTMS_TEMP_CMD,,FCC,,,,,,,,"Aircraft-level battery thermal target written by the FMS and FCC to the HICU, which relays it to the BTMS. The IPTMS coolant target is a separate signal. Battery thermal target issued from the mission and energy strategy.",Yes,TBD,TBD
SIG-121,BTMS Coolant Status,Computed,Digital,BTMS_STATUS,,BTMS,,,,,,,,"BTMS thermal status only; the IPTMS status is computed and reported independently, and the two are never combined into one word. Cooling capability and health consolidated by the BTMS from its two loop sensor sets.",Yes,TBD,TBD
SIG-122,Total Energy Available and Hybridization Mode,Computed,Digital,PEMS_STATUS,,FCC,,,SIG-116;SIG-118;SIG-146,,,,,"Low-integrity, informational only. Energy summary the FCC broadcasts to avionics for display and mission re-planning.",Yes,TBD,TBD
SIG-123,FCC Status,Computed,Digital,FCC_STATUS,,FCC,,,,,,,,FCC health and mode word broadcast to avionics.,Yes,TBD,TBD
SIG-124,Autothrust Command,Computed,Digital,AUTOTHRUST_CMD,,FCC,,,,,,,,Autothrust engagement and target exchanged between FCC channels.,Yes,TBD,TBD
SIG-125,Fuel level on the reserve,Measurement,Discrete,MIN_FUEL,FTANK,HICU,,,,,,,,,TBD,TBD,TBD
SIG-126,HVPDU EMC Feed Current,Measurement,Analog,I_EMC_FEED,HVPDU,HVPDU,EM,,,Current sensor,,,,DC feed current to each motor controller measured at the HVPDU; distinct from the motor phase current measured by the EMC. Repeated per motor because the HVPDU feeds the two motors of its nacelle.,Yes,TBD,TBD
SIG-127,HVPDU Auxiliary Feed Current,Measurement,Analog,I_AUX,HVPDU,HVPDU,,,,Current sensor,,,,Aggregate feed current to the non-propulsion nacelle loads (IPTMS and other auxiliaries).,Yes,TBD,TBD
SIG-128,HVPDU Temperature,Measurement,Analog,T_HVPDU,HVPDU,HVPDU,,,,Temperature sensor,,,,HVPDU internal / busbar temperature reported for monitoring and derating.,Yes,TBD,TBD
SIG-129,BTMS Loop 1 Coolant Inlet Temperature,Measurement,Analog,BTMS_L1_T_IN,BTMS,BTMS,,,,Temperature sensor,,,,Inlet / outlet naming follows the BTMS request; the IPTMS equivalents use Supply / Return for the same physical positions.,Yes,TBD,TBD
SIG-130,BTMS Loop 1 Coolant Outlet Temperature,Measurement,Analog,BTMS_L1_T_OUT,BTMS,BTMS,,,,Temperature sensor,,,,,Yes,TBD,TBD
SIG-131,BTMS Loop 1 Coolant Differential Pressure,Measurement,Analog,BTMS_L1_dP,BTMS,BTMS,,,,Differential pressure sensor,,,,,Yes,TBD,TBD
SIG-132,BTMS Loop 2 Coolant Inlet Temperature,Measurement,Analog,BTMS_L2_T_IN,BTMS,BTMS,,,,Temperature sensor,,,,,Yes,TBD,TBD
SIG-133,BTMS Loop 2 Coolant Outlet Temperature,Measurement,Analog,BTMS_L2_T_OUT,BTMS,BTMS,,,,Temperature sensor,,,,,Yes,TBD,TBD
SIG-134,BTMS Loop 2 Coolant Differential Pressure,Measurement,Analog,BTMS_L2_dP,BTMS,BTMS,,,,Differential pressure sensor,,,,,Yes,TBD,TBD
SIG-135,Battery Pack Open Circuit Voltage,Measurement,Analog,V_OCV,PACK,BMU,,,,Voltage sensor,,,,Rest / no-load terminal voltage used for state-of-charge estimation; distinct from the loaded terminal voltage.,Yes,TBD,TBD
SIG-136,Battery Pack Maximum Temperature,Measurement,Analog,T_PACK_MAX,PACK,BMU,,,,Temperature sensor,,,,Hottest measurement point in the pack. Cell-level acquisition stays internal to the pack; the BMU reports the extremum only.,Yes,TBD,TBD
SIG-137,Battery Pack Minimum Temperature,Measurement,Analog,T_PACK_MIN,PACK,BMU,,,,Temperature sensor,,,,Coldest measurement point in the pack; drives cold-soak charge limiting and BTMS pre-conditioning.,Yes,TBD,TBD
SIG-138,Battery Pack Minimum Cell Voltage,Measurement,Analog,V_CELL_MIN,PACK,BMU,,,,Voltage sensor,,,,Lowest cell voltage in the pack. Individual cell voltages are not modelled in this ICD; only the extremum crosses the interface.,Yes,TBD,TBD
SIG-139,Battery Pack Maximum Cell Voltage,Measurement,Analog,V_CELL_MAX,PACK,BMU,,,,Voltage sensor,,,,Highest cell voltage in the pack; drives end-of-charge limiting.,Yes,TBD,TBD
SIG-140,Battery Pack State of Charge,Computed,Digital,SOC_PACK,,BMU,,,,,,,,"Consolidated at assembly level by the MBMS. Estimated by the BMU from pack current integration, open circuit voltage and cell voltage extrema.",Yes,TBD,TBD
SIG-141,Battery Pack State of Health,Computed,Digital,SOH_PACK,,BMU,,,,,,,,Capacity and impedance degradation estimated by the BMU over the life of the pack.,Yes,TBD,TBD
SIG-142,Battery Pack State of Power - Charge,Computed,Digital,SOP_PACK_CHG,,BMU,,,,,,,,"Instantaneous charge power the pack can accept, limited by state of charge, temperature extrema and maximum cell voltage.",Yes,TBD,TBD
SIG-143,Battery Pack State of Power - Discharge,Computed,Digital,SOP_PACK_DIS,,BMU,,,,,,,,"Instantaneous discharge power the pack can deliver, limited by state of charge, temperature extrema and minimum cell voltage.",Yes,TBD,TBD
SIG-144,Battery Pack Failure Flag,Computed,Digital,PACK_FAIL,,BMU,,,SIG-152,,,,,Pack fault summary raised by the BMU from its own monitoring; consolidated at assembly level into SIG-152.,Yes,TBD,TBD
SIG-145,Battery Pack Cumulative Energy Output,Computed,Digital,E_PACK_CUM,,BMU,,,,,,,,"Energy delivered by the pack, integrated by the BMU from pack current and terminal voltage; non-volatile life counter.",Yes,TBD,TBD
SIG-146,HVDC Assembly State of Charge,Computed,Digital,SOC_HVDC,,MBMS,,,SIG-140,,,,,"Assembly state of charge consolidated by the MBMS from the twelve pack values, weighted by the packs actually connected.",Yes,TBD,TBD
SIG-147,HVDC Assembly State of Power - Charge,Computed,Digital,SOP_HVDC_CHG,,MBMS,,,SIG-142,,,,,"Charge power the assembly can accept, consolidated from the connected packs.",Yes,TBD,TBD
